REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.000277533069937764
"SC","MINSOL",2020,0.000137142852754286
"SC","MINSOL",2021,0.000426666653013334
"SC","MINSOL",2022,0.0070292890521211
"SC","MINSOL",2023,0.00110843923621312
"SC","MINSOL",2024,0.00011999999616
"SC","MINSOL",2025,0.0707024835706032
"SC","MINSOL",2026,0.0685551059689563
"SC","MINSOL",2027,0.0716460308397811
"SC","MINSOL",2028,0.00142052811353076
"SC","MINSOL",2029,0.0716910972050304
"SC","MINSOL",2030,0.0695966553519068
"SC","MINSOL",2031,0.0322369621893514
"SC","MINSOL",2032,0.0697539565865031
"SC","MINSOL",2033,0.0726797108394576
"SC","MINSOL",2034,0.0726797108394576
"SC","MINSOL",2035,0.0726797108394576
"SC","MINSOL",2036,0.0735571520227771
"SC","MINSOL",2037,0.0736683244738848
"SC","MINSOL",2038,0.0736683244738848
"SC","MINSOL",2039,0.0651947692191606
"SC","MINSOL",2040,0.0736683244738848
"SC","MINSOL",2041,0.0747723384760157
"SC","MINSOL",2042,0.0745251850674089
"SC","MINSOL",2043,0.0745251850674089
"SC","MINSOL",2044,0.0277881973403055
"SC","MINSOL",2045,0.0745251850674089
"SC","MINSOL",2046,0.0757403715206474
"SC","MINSOL",2047,0.0780611732723204
"SC","MINSOL",2048,0.0780611732723204
"SC","MINSOL",2049,0.0780611732723205
"SC","MINSOL",2050,0.0562802114376192
"SC","MINWND",2019,0.0154217016504307
"SC","MINWND",2020,0.0427069954635264
"SC","MINWND",2021,0.0498677272689024
"SC","MINWND",2022,0.00604140882768001
"SC","MINWND",2023,0.0113266957575675
"SC","MINWND",2024,0.00920716916413933
"SC","MINWND",2026,0.127743100972531
"SC","MINWND",2028,0.0645787457779368
"SC","MINWND",2029,0.102246784364275
"SC","MINWND",2030,0.102246784364275
"SC","MINWND",2031,0.101650672887982
"SC","MINWND",2032,0.102358007544271
"SC","MINWND",2033,0.0831878091758069
"SC","MINWND",2034,0.0371950050325598
"SC","MINWND",2035,0.0196229853985186
"SC","MINWND",2036,0.082830529867392
"SC","MINWND",2037,0.089453939321088
"SC","MINWND",2038,0.089453939321088
"SC","MINWND",2039,0.089453939321088
"SC","MINWND",2040,0.089453939321088
"SC","MINWND",2041,0.089453939321088
"SC","MINWND",2042,0.089453939321088
"SC","MINWND",2043,0.0878422797616391
"SC","MINWND",2044,0.0749757921470208
"SC","MINWND",2045,0.0749757921470208
"SC","IMPDSL",2019,0.213299652032036
"SC","IMPDSL",2020,0.279318328566729
"SC","IMPDSL",2021,0.261811692702699
"SC","IMPDSL",2022,0.212282558035105
"SC","IMPDSL",2023,0.21191913459923
"SC","IMPDSL",2024,0.211556892031518
"SC","IMPDSL",2025,0.211195859925541
"SC","IMPDSL",2026,0.275356609921428
"SC","IMPDSL",2027,0.273665113033374
"SC","IMPDSL",2028,0.272105225902086
"SC","IMPDSL",2029,0.270663120814425
"SC","IMPDSL",2030,0.269326529362009
"SC","IMPDSL",2031,0.260817419311896
"SC","IMPDSL",2032,0.260824184264733
"SC","IMPDSL",2033,0.260839260791723
"SC","IMPDSL",2034,0.0934121444203406
"SC","IMPDSL",2035,0.0923509340088988
"SC","IMPDSL",2036,0.0911993869413674
"SC","IMPDSL",2037,0.0242877184927478
"SC","IMPDSL",2038,0.0244001307687196
"SC","IMPDSL",2039,0.024521225971596
"SC","IMPDSL",2040,0.0246511129588577
"SC","IMPDSL",2041,0.0249552526450113
"SC","IMPDSL",2042,0.0252761622052582
"SC","IMPDSL",2043,0.021337863605451
"SC","IMPDSL",2044,0.0217117209604275
"SC","IMPDSL",2045,0.0221044415849399
"SC","IMPDSL",2046,0.0225168450205746
"SC","IMPDSL",2047,0.0229497861551862
"SC","IMPDSL",2048,0.0234041594742214
"SC","IMPDSL",2049,0.0236884495463913
"SC","IMPDSL",2050,0.0241894028784721
"SC","PWRDIE",2019,0.00990930967782853
"SC","PWRDIE",2020,0.00990930967782853
"SC","PWRDIE",2021,0.00990930967782853
"SC","PWRDIE",2022,0.00990930967782853
"SC","PWRDIE",2023,0.00990930967782853
"SC","PWRDIE",2024,0.00990930967782853
"SC","PWRDIE",2025,0.00990930967782853
"SC","PWRDIE",2026,0.01387303354896
"SC","PWRDIE",2027,0.01387303354896
"SC","PWRDIE",2028,0.01387303354896
"SC","PWRDIE",2029,0.01387303354896
"SC","PWRDIE",2030,0.01387303354896
"SC","PWRDIE",2031,0.01387303354896
"SC","PWRDIE",2032,0.01387303354896
"SC","PWRDIE",2033,0.01387303354896
"SC","PWRDIE",2034,0.00396372387113145
"SC","PWRDIE",2035,0.00396372387113145
"SC","PWRDIE",2036,0.00396372387113145
"SC","PWRDIE",2037,0.00396372387113145
"SC","PWRDIE",2038,0.00396372387113145
"SC","PWRDIE",2039,0.00396372387113145
"SC","PWRDIE",2040,0.00396372387113145
"SC","PWRWND",2019,0.0024
"SC","PWRWND",2020,0.0024
"SC","PWRWND",2021,0.008
"SC","PWRWND",2022,0.008
"SC","PWRWND",2023,0.008
"SC","PWRWND",2024,0.008
"SC","PWRWND",2025,0.008
"SC","PWRWND",2026,0.008
"SC","PWRWND",2027,0.008
"SC","PWRWND",2028,0.008
"SC","PWRWND",2029,0.008
"SC","PWRWND",2030,0.008
"SC","PWRWND",2031,0.008
"SC","PWRWND",2032,0.008
"SC","PWRWND",2033,0.008
"SC","PWRWND",2034,0.008
"SC","PWRWND",2035,0.008
"SC","PWRWND",2036,0.008
"SC","PWRWND",2037,0.008
"SC","PWRWND",2038,0.008
"SC","PWRWND",2039,0.008
"SC","PWRWND",2040,0.008
"SC","PWRWND",2041,0.008
"SC","PWRWND",2042,0.008
"SC","PWRWND",2043,0.008
"SC","PWRWND",2044,0.0056
"SC","PWRWND",2045,0.0056
"SC","PWRSOL",2020,0.001
"SC","PWRSOL",2021,0.00352334
"SC","PWRSOL",2022,0.00352334
"SC","PWRSOL",2023,0.00352334
"SC","PWRSOL",2024,0.00352334
"SC","PWRSOL",2025,0.00352334
"SC","PWRSOL",2026,0.00352334
"SC","PWRSOL",2027,0.00352334
"SC","PWRSOL",2028,0.00352334
"SC","PWRSOL",2029,0.00352334
"SC","PWRSOL",2030,0.00352334
"SC","PWRSOL",2031,0.00352334
"SC","PWRSOL",2032,0.00352334
"SC","PWRSOL",2033,0.00352334
"SC","PWRSOL",2034,0.00352334
"SC","PWRSOL",2035,0.00352334
"SC","PWRSOL",2036,0.00352334
"SC","PWRSOL",2037,0.00352334
"SC","PWRSOL",2038,0.00352334
"SC","PWRSOL",2039,0.00352334
"SC","PWRSOL",2040,0.00352334
"SC","PWRSOL",2041,0.00352334
"SC","PWRSOL",2042,0.00352334
"SC","PWRSOL",2043,0.00352334
"SC","PWRSOL",2044,0.00352334
"SC","PWRSOL",2045,0.00352334
"SC","PWRSOL",2046,0.00352334
"SC","PWRSOL",2047,0.00352334
"SC","PWRSOL",2048,0.00352334
"SC","PWRSOL",2049,0.00352334
"SC","PWRSOL",2050,0.00252334
"SC","IMPGSL",2019,0.0958543396370899
"SC","IMPGSL",2020,0.17617134697906
"SC","IMPGSL",2021,0.149995366917399
"SC","IMPGSL",2022,0.0943082686073235
"SC","IMPGSL",2023,0.0937207897727538
"SC","IMPGSL",2024,0.0931437833937525
"SC","IMPGSL",2025,0.0925766657047419
"SC","IMPGSL",2026,0.0885963423276083
"SC","IMPGSL",2027,0.0849562615752463
"SC","IMPGSL",2028,0.0815885790096373
"SC","IMPGSL",2029,0.0784643245666246
"SC","IMPGSL",2030,0.0755578757485961
"SC","IMPGSL",2031,0.0574370834020938
"SC","IMPGSL",2032,0.0556666381791285
"SC","IMPGSL",2033,0.0552044451695157
"SC","IMPGSL",2034,0.0479564481618707
"SC","IMPGSL",2035,0.0455484130173534
"SC","IMPGSL",2036,0.0432872871122355
"SC","IMPGSL",2037,0.0411649795945192
"SC","IMPGSL",2038,0.0410162889341824
"SC","IMPGSL",2039,0.0408370715629569
"SC","IMPGSL",2040,0.040740232507897
"SC","IMPGSL",2041,0.0407040134969113
"SC","IMPGSL",2042,0.040674974550841
"SC","IMPGSL",2043,0.0318515214949029
"SC","IMPGSL",2044,0.0316891798927115
"SC","IMPGSL",2045,0.03162000872524
"SC","IMPGSL",2046,0.0275635981021729
"SC","IMPGSL",2047,0.0273124109269464
"SC","IMPGSL",2048,0.0267133599887703
"SC","IMPGSL",2049,0.0260273143054849
"SC","IMPGSL",2050,0.0261656973122784
"SC","BAT",2019,0.00183605800953264
"SC","BAT",2020,0.00126084340685432
"SC","BAT",2021,0.00260467593211027
"SC","BAT",2022,0.00196018893492818
"SC","BAT",2023,0.00192132980098147
"SC","BAT",2024,0.00206883511838088
"SC","BAT",2025,0.00252342562540483
"SC","BAT",2026,0.00588461171633813
"SC","BAT",2027,0.00213975999834985
"SC","BAT",2028,0.00210563123469113
"SC","BAT",2029,0.00211066758661096
"SC","BAT",2030,0.00233496846027141
"SC","BAT",2031,0.00266012878297761
"SC","BAT",2032,0.00238700238153885
"SC","BAT",2033,0.00240901158600528
"SC","BAT",2034,0.0041461797286655
"SC","BAT",2035,0.0041798090182829
"SC","BAT",2036,0.00422470318008908
"SC","BAT",2037,0.00490446134083085
"SC","BAT",2038,0.0049505026381092
"SC","BAT",2039,0.00499717235690706
"SC","BAT",2040,0.00505554494648907
"SC","BAT",2041,0.00509438969841175
"SC","BAT",2042,0.00514515019585008
"SC","BAT",2043,0.00529387468656014
"SC","BAT",2044,0.00534456943490921
"SC","BAT",2045,0.00545354554731213
"SC","BAT",2046,0.00580358429062551
"SC","BAT",2047,0.00588486136813087
"SC","BAT",2048,0.00587169675939765
"SC","BAT",2049,0.00595605444771487
"SC","BAT",2050,0.00604105068927985
"SC","DEMRESELC",2019,0.0379884977186431
"SC","DEMRESELC",2020,0.0388276260983753
"SC","DEMRESELC",2021,0.0396908836923361
"SC","DEMRESELC",2022,0.0405792170014718
"SC","DEMRESELC",2023,0.0412130352689608
"SC","DEMRESELC",2024,0.0428295914122684
"SC","DEMRESELC",2025,0.044487171343135
"SC","DEMRESELC",2026,0.0456623038103604
"SC","DEMRESELC",2027,0.0468407968245107
"SC","DEMRESELC",2028,0.0480226747509568
"SC","DEMRESELC",2029,0.0492079657035883
"SC","DEMRESELC",2030,0.0503966921735167
"SC","DEMRESELC",2031,0.0509715106325003
"SC","DEMRESELC",2032,0.0515531438982988
"SC","DEMRESELC",2033,0.0521416744383213
"SC","DEMRESELC",2034,0.052737190342755
"SC","DEMRESELC",2035,0.0533397778275278
"SC","DEMRESELC",2036,0.053949521234308
"SC","DEMRESELC",2037,0.0545665105275421
"SC","DEMRESELC",2038,0.0551908375459358
"SC","DEMRESELC",2039,0.0558225922539355
"SC","DEMRESELC",2040,0.0564618646159875
"SC","DEMRESELC",2041,0.0571087502193163
"SC","DEMRESELC",2042,0.0577633427768868
"SC","DEMRESELC",2043,0.0584257378759233
"SC","DEMRESELC",2044,0.0592158356323669
"SC","DEMRESELC",2045,0.0600059333888105
"SC","DEMRESELC",2046,0.0607960292709947
"SC","DEMRESELC",2047,0.0615861270274383
"SC","DEMRESELC",2048,0.0623762247838819
"SC","DEMRESELC",2049,0.0631663225403255
"SC","DEMRESELC",2050,0.0639564202967691
"SC","DEMCOMELC",2019,0.0743512141897039
"SC","DEMCOMELC",2020,0.055397628323026
"SC","DEMCOMELC",2021,0.0580948954985424
"SC","DEMCOMELC",2022,0.0772144976312385
"SC","DEMCOMELC",2023,0.0788026962313367
"SC","DEMCOMELC",2024,0.08155614807789
"SC","DEMCOMELC",2025,0.0843133521915619
"SC","DEMCOMELC",2026,0.087020406749143
"SC","DEMCOMELC",2027,0.0897274613067241
"SC","DEMCOMELC",2028,0.0924345177385646
"SC","DEMCOMELC",2029,0.0951415722961457
"SC","DEMCOMELC",2030,0.0978486268537268
"SC","DEMCOMELC",2031,0.0984440846561223
"SC","DEMCOMELC",2032,0.0990454951060546
"SC","DEMCOMELC",2033,0.0996529200540806
"SC","DEMCOMELC",2034,0.100266419476498
"SC","DEMCOMELC",2035,0.100886053349605
"SC","DEMCOMELC",2036,0.101511883523957
"SC","DEMCOMELC",2037,0.102143973724371
"SC","DEMCOMELC",2038,0.102782382052886
"SC","DEMCOMELC",2039,0.103427175982836
"SC","DEMCOMELC",2040,0.104078419239037
"SC","DEMCOMELC",2041,0.104736171797788
"SC","DEMCOMELC",2042,0.10540050488094
"SC","DEMCOMELC",2043,0.106071480339052
"SC","DEMCOMELC",2044,0.107505895963584
"SC","DEMCOMELC",2045,0.108940311588115
"SC","DEMCOMELC",2046,0.110374727212646
"SC","DEMCOMELC",2047,0.111809142837178
"SC","DEMCOMELC",2048,0.113243558461709
"SC","DEMCOMELC",2049,0.11467797408624
"SC","DEMCOMELC",2050,0.116112389710772
"SC","PWRSOLDIST",2019,1.53647796636782e-06
"SC","PWRSOLDIST",2020,4e-05
"SC","PWRSOLDIST",2021,4e-05
"SC","PWRSOLDIST",2022,4e-05
"SC","PWRSOLDIST",2023,4e-05
"SC","PWRSOLDIST",2024,4e-05
"SC","PWRSOLDIST",2025,4e-05
"SC","PWRSOLDIST",2026,7.68238983183911e-05
"SC","PWRSOLDIST",2027,9e-05
"SC","PWRSOLDIST",2028,9e-05
"SC","PWRSOLDIST",2029,9e-05
"SC","PWRSOLDIST",2030,9e-05
"SC","PWRSOLDIST",2031,0.000138283016973104
"SC","PWRSOLDIST",2032,0.00014
"SC","PWRSOLDIST",2033,0.00014
"SC","PWRSOLDIST",2034,0.00014
"SC","PWRSOLDIST",2035,0.00014
"SC","PWRSOLDIST",2036,0.000184377355964139
"SC","PWRSOLDIST",2037,0.00019
"SC","PWRSOLDIST",2038,0.00019
"SC","PWRSOLDIST",2039,0.00019
"SC","PWRSOLDIST",2040,0.00019
"SC","PWRSOLDIST",2041,0.000245836474618851
"SC","PWRSOLDIST",2042,0.000245836474618851
"SC","PWRSOLDIST",2043,0.000245836474618851
"SC","PWRSOLDIST",2044,0.000245836474618851
"SC","PWRSOLDIST",2045,0.000245836474618851
"SC","PWRSOLDIST",2046,0.000307295593273564
"SC","PWRSOLDIST",2047,0.000307295593273564
"SC","PWRSOLDIST",2048,0.000307295593273564
"SC","PWRSOLDIST",2049,0.000307295593273564
"SC","PWRSOLDIST",2050,0.000307295593273564
"SC","TXD_neta",2019,0.939999840484461
"SC","TXD_neta",2020,0.939999840484461
"SC","TXD_neta",2021,0.939999840484461
"SC","TXD_neta",2022,1.0417363152644
"SC","TXD_neta",2023,1.08471670416566
"SC","TXD_neta",2024,1.1323641619383
"SC","TXD_neta",2025,1.17993447280746
"SC","TXD_neta",2026,1.17993447280746
"SC","TXD_neta",2027,1.17993447280746
"SC","TXD_neta",2028,1.17993447280746
"SC","TXD_neta",2029,1.17993447280746
"SC","TXD_neta",2030,1.17993447280746
"SC","TXD_neta",2031,0.867360085457879
"SC","TXD_neta",2032,0.867360085457879
"SC","TXD_neta",2033,0.867360085457879
"SC","TXD_neta",2034,0.765623610677941
"SC","TXD_neta",2035,0.72264322177668
"SC","TXD_neta",2036,0.674995764004043
"SC","TXD_neta",2037,0.637589191067781
"SC","TXD_neta",2038,0.637589191067781
"SC","TXD_neta",2039,0.637589191067781
"SC","TXD_neta",2040,0.637589191067781
"SC","TXD_neta",2041,0.637589191067781
"SC","TXD_neta",2042,0.637589191067781
"SC","TXD_neta",2043,0.468686565941694
"SC","TXD_neta",2044,0.468686565941694
"SC","TXD_neta",2045,0.468686565941694
"SC","TXD_neta",2046,0.468686565941694
"SC","TXD_neta",2047,0.468686565941694
"SC","TXD_neta",2048,0.468686565941694
"SC","TXD_neta",2049,0.458522828008793
"SC","TXD_neta",2050,0.458522828008793
"SC","TXD_Camion",2019,0.940001719518957
"SC","TXD_Camion",2020,0.940001719518957
"SC","TXD_Camion",2021,0.940001719518957
"SC","TXD_Camion",2022,1.04173691303116
"SC","TXD_Camion",2023,1.08471568499702
"SC","TXD_Camion",2024,1.1323640064804
"SC","TXD_Camion",2025,1.17993526113003
"SC","TXD_Camion",2026,1.17993526113003
"SC","TXD_Camion",2027,1.17993526113003
"SC","TXD_Camion",2028,1.17993526113003
"SC","TXD_Camion",2029,1.17993526113003
"SC","TXD_Camion",2030,1.17993526113003
"SC","TXD_Camion",2031,0.867359189525693
"SC","TXD_Camion",2032,0.867359189525693
"SC","TXD_Camion",2033,0.867359189525693
"SC","TXD_Camion",2034,0.765623996013495
"SC","TXD_Camion",2035,0.722645224047635
"SC","TXD_Camion",2036,0.674996902564253
"SC","TXD_Camion",2037,0.637587927745218
"SC","TXD_Camion",2038,0.637587927745218
"SC","TXD_Camion",2039,0.637587927745218
"SC","TXD_Camion",2040,0.637587927745218
"SC","TXD_Camion",2041,0.637587927745218
"SC","TXD_Camion",2042,0.637587927745218
"SC","TXD_Camion",2043,0.468685452473731
"SC","TXD_Camion",2044,0.468685452473731
"SC","TXD_Camion",2045,0.468685452473731
"SC","TXD_Camion",2046,0.468685452473731
"SC","TXD_Camion",2047,0.468685452473731
"SC","TXD_Camion",2048,0.468685452473731
"SC","TXD_Camion",2049,0.45852317264313
"SC","TXD_Camion",2050,0.45852317264313
"SC","TXD_Especial",2019,0.979999968000003
"SC","TXD_Especial",2020,0.979999968000003
"SC","TXD_Especial",2021,0.979999968000003
"SC","TXD_Especial",2022,1.04173743848684
"SC","TXD_Especial",2023,1.08471761166786
"SC","TXD_Especial",2024,1.13236514496771
"SC","TXD_Especial",2025,1.1799346480984
"SC","TXD_Especial",2026,1.1799346480984
"SC","TXD_Especial",2027,1.1799346480984
"SC","TXD_Especial",2028,1.1799346480984
"SC","TXD_Especial",2029,1.1799346480984
"SC","TXD_Especial",2030,1.1799346480984
"SC","TXD_Especial",2031,0.867360240437062
"SC","TXD_Especial",2032,0.867360240437062
"SC","TXD_Especial",2033,0.867360240437062
"SC","TXD_Especial",2034,0.805622769950225
"SC","TXD_Especial",2035,0.762642596769207
"SC","TXD_Especial",2036,0.714995063469351
"SC","TXD_Especial",2037,0.667425560338665
"SC","TXD_Especial",2038,0.667425560338665
"SC","TXD_Especial",2039,0.667425560338665
"SC","TXD_Especial",2040,0.667425560338665
"SC","TXD_Especial",2041,0.667425560338665
"SC","TXD_Especial",2042,0.667425560338665
"SC","TXD_Especial",2043,0.468686766112942
"SC","TXD_Especial",2044,0.468686766112942
"SC","TXD_Especial",2045,0.468686766112942
"SC","TXD_Especial",2046,0.468686766112942
"SC","TXD_Especial",2047,0.468686766112942
"SC","TXD_Especial",2048,0.468686766112942
"SC","TXD_Especial",2049,0.468686766112942
"SC","TXD_Especial",2050,0.468686766112942
"SC","TXD_Bus_furgo",2019,0.979999967999995
"SC","TXD_Bus_furgo",2020,0.979999967999995
"SC","TXD_Bus_furgo",2021,0.979999967999995
"SC","TXD_Bus_furgo",2022,1.04173655342242
"SC","TXD_Bus_furgo",2023,1.08471657487811
"SC","TXD_Bus_furgo",2024,1.13236440440361
"SC","TXD_Bus_furgo",2025,1.1799343229727
"SC","TXD_Bus_furgo",2026,1.23893118181539
"SC","TXD_Bus_furgo",2027,1.30087752686507
"SC","TXD_Bus_furgo",2028,1.36592147455535
"SC","TXD_Bus_furgo",2029,1.43421770524659
"SC","TXD_Bus_furgo",2030,1.50592860477832
"SC","TXD_Bus_furgo",2031,1.58122483524556
"SC","TXD_Bus_furgo",2032,1.66028619116308
"SC","TXD_Bus_furgo",2033,1.74330045791302
"SC","TXD_Bus_furgo",2034,1.83046540946164
"SC","TXD_Bus_furgo",2035,1.92198880835937
"SC","TXD_Bus_furgo",2036,2.01808812035269
"SC","TXD_Bus_furgo",2037,2.11899251210091
"SC","TXD_Bus_furgo",2038,2.22494228040002
"SC","TXD_Bus_furgo",2039,2.33618942295884
"SC","TXD_Bus_furgo",2040,2.45299877995153
"SC","TXD_Bus_furgo",2041,2.57564889018197
"SC","TXD_Bus_furgo",2042,2.70443113491939
"SC","TXD_Bus_furgo",2043,2.83965287716764
"SC","TXD_Bus_furgo",2044,2.9816354639484
"SC","TXD_Bus_furgo",2045,3.13071708018235
"SC","TXD_Bus_furgo",2046,3.28725303407731
"SC","TXD_Bus_furgo",2047,3.4516157571282
"SC","TXD_Bus_furgo",2048,3.6241965164458
"SC","TXD_Bus_furgo",2049,3.80540627092106
"SC","TXD_Bus_furgo",2050,3.99567652738949
"SC","TXG_auto",2019,0.919998454807278
"SC","TXG_auto",2020,0.919998454807278
"SC","TXG_auto",2021,0.919998454807278
"SC","TXG_auto",2022,1.04173735407656
"SC","TXG_auto",2023,1.08471707137849
"SC","TXG_auto",2024,1.13236246624225
"SC","TXG_auto",2025,1.17993220146988
"SC","TXG_auto",2026,1.22743636501285
"SC","TXG_auto",2027,1.28880641787198
"SC","TXG_auto",2028,1.3532482519583
"SC","TXG_auto",2029,1.42090814256834
"SC","TXG_auto",2030,1.49195254090161
"SC","TXG_auto",2031,1.56655294213335
"SC","TXG_auto",2032,1.6448808414388
"SC","TXG_auto",2033,1.72712286592045
"SC","TXG_auto",2034,1.81348077460798
"SC","TXG_auto",2035,1.90415128255536
"SC","TXG_auto",2036,1.999361368671
"SC","TXG_auto",2037,2.09932792391183
"SC","TXG_auto",2038,2.20429305911348
"SC","TXG_auto",2039,2.31450897306309
"SC","TXG_auto",2040,2.43023290852352
"SC","TXG_auto",2041,2.55174732813636
"SC","TXG_auto",2042,2.67933469454318
"SC","TXG_auto",2043,2.81330269026427
"SC","TXG_auto",2044,2.95396404179568
"SC","TXG_auto",2045,3.10166678346363
"SC","TXG_auto",2046,3.25674886164287
"SC","TXG_auto",2047,3.41958353053836
"SC","TXG_auto",2048,3.590564220258
"SC","TXG_auto",2049,3.7700944488612
"SC","TXG_auto",2050,3.95859791031032
"SC","TXG_moto",2019,0.0300001110920338
"SC","TXG_moto",2020,0.40218734926977
"SC","TXG_moto",2021,0.468916888442878
"SC","TXG_moto",2022,1.04173719559264
"SC","TXG_moto",2023,1.08471631894907
"SC","TXG_moto",2024,1.13236453537754
"SC","TXG_moto",2025,1.17993405118727
"SC","TXG_moto",2026,1.17993405118727
